,MEK.Trametinib_vs_Control,PI3K.GDC0941_vs_Control,AKT.AZD5363_vs_Control,ERK.GDC0994_vs_Control,CDK4.6.LY2835219_vs_Control,CDK2.1.9.AZD5438_vs_Control,TTK.CFI402257_vs_Control
ARAF.ERN1,0.570894975,0.18454256,0.318812939,1.206406074,0.267149027,-0.515110064,0.593824343
CAMKK2.CIT,0.339596376,0.147156644,-0.049234058,0.588791619,-0.937214266,-2.625661758,-0.152063681
CIT.TAOK3,0.338651087,0.156710726,-0.058573021,0.531564906,-0.951567979,-2.675499026,-0.162275492
CAMKK2.TAOK3,0.340401234,0.157520606,-0.038824203,0.534312029,-0.956485676,-2.689325986,-0.16311413
IRAK1.TAOK3,0.302444576,-0.34755559,-0.21070601,0.553216673,-0.962475858,-2.440508011,-0.12332877
CIT.IRAK1,0.25602194,-0.343012185,-0.07660595,0.545984772,-0.888032428,-2.308785272,-0.121716559
CAMKK2.IRAK1,0.257723101,-0.229941598,-0.077114965,0.485966935,-1.112014141,-2.324126207,-0.134600424
ARAF.MAP4K5,0.185027557,0.1992415,-0.168441748,0.59533489,0.464319464,0.632515238,0.288039295
MAPK14.PDGFRB,0.567021651,0.35843704,0.350043234,0.205354792,0.268955844,0.470119502,0.762788141
CDK2.CSNK1E,0.067438832,-0.85040304,-0.758455574,0.300741575,0.066408913,-5.475433919,-0.656689741
CSNK1E.MAP3K1,0.521751546,0.18226588,0.329368694,0.285047414,0.277545316,-0.039833081,0.569605201
MAP4K5.MAPK14,0.478659796,0.264546076,0.314389469,0.301106456,0.442160578,0.422437581,0.565436525
MAP3K1.MAPK14,0.484461945,0.267752812,0.318200389,0.304756365,0.522766875,0.427558223,0.756977639
CSNK1E.MAP4K5,0.438838822,0.323690508,0.305640024,0.374940929,0.340349306,0.266023573,0.567879534
MAP3K1.MAP4K5,0.480410641,0.196237806,0.298814177,0.304756365,0.673721478,0.388982219,0.50143662
MAP4K5.PDGFRB,0.478659796,0.264546076,0.314389469,0.241975412,0.302986364,0.384323582,0.565436525
MAP4K4.MAP4K5,0.477876396,0.319859716,0.330578482,0.317292964,0.426349536,0.377304902,0.56115883
MAP4K5.YES1,0.477876396,0.177683622,0.302022855,0.288580851,0.426349536,0.377304902,0.56115883
MAP3K1.MAP4K4,0.482923865,0.323690508,0.334537646,0.200687028,0.340349306,0.192584829,0.534487105
MAP3K1.YES1,0.443971614,0.257483499,0.309214883,0.168130529,0.279844016,0.194837359,0.540738629
CSNK1E.PDGFRB,0.472083741,0.315982485,0.326571322,0.313446846,0.421181472,0.37273134,0.554356653
CSNK1E.MAPK14,0.472083741,0.209873598,0.298361837,0.285082772,0.332244588,0.37273134,0.569599677
