,from,to,z-score,weight
0,CDK2,CSNK1E,-0.7584555740000001,7.584555740000001
1,MINK1,SRPK1,-0.057573812,0.57573812
2,CDK2,CIT,-0.385782436,3.85782436
3,ABL1,LIMK1_2,-0.48886655,4.8886655
4,PAK1,PAK3,-0.09292390800000001,0.9292390800000001
5,PIK3CA,TTK,-3.650960421,36.50960421
6,MAPK14,PLK1,-0.250979068,2.50979068
7,CIT,CSNK1E,-0.393097322,3.9309732200000003
8,PIK3CB,PLK1,-0.604739266,6.047392660000001
9,LATS1,PRKCI,-0.479577232,4.79577232
10,MAP4K5,PLK1,-0.128177439,1.28177439
11,MAPK14,PRKCI,-0.022763098,0.22763097999999998
12,PLK1,SRPK1,-0.098931536,0.98931536
13,MAP4K5,PRKCI,-0.093180292,0.93180292
14,MAP3K1,PLK1,-0.218927932,2.18927932
15,MAPK14,TNK2,-0.033527506,0.33527505999999996
16,MAP4K5,SRPK1,-0.26421643899999997,2.6421643899999996
17,MTOR,PIK3CA,-3.794608556,37.94608556
18,CIT,TTK,-2.864212642,28.64212642
19,CDK2,MAP3K1,-0.025098767,0.25098767
20,AKT1_2,PIK3CA,-6.03390949,60.3390949
21,CIT,PLK1,-0.608064655,6.080646549999999
22,CSNK1E,PLK1,-0.379726688,3.7972668799999996
23,PLK1,TTK,-1.049187658,10.49187658
24,MAP4K5,PAK3,-0.164099968,1.6409996800000002
25,PAK3,SRPK1,-0.340575674,3.40575674
26,CSNK1E,PRKCI,-0.10008372,1.0008372
27,PAK3,PLK1,-0.112664495,1.12664495
28,AKT1_2,LIMK1_2,-1.279849237,12.798492370000002
29,CSNK1E,PAK3,-0.526648439,5.2664843900000005
30,MTOR,TTK,-2.979397671,29.793976710000003
31,PIK3CA,PLK1,-0.003344894,0.03344894
32,AKT1_2,PRKACA,-1.713436107,17.13436107
33,MAPK14,PAK3,-0.182013855,1.82013855
34,MAP4K5,MINK1,-0.11947225199999999,1.1947225199999998
35,PLK1,PRKCI,-0.082320727,0.8232072699999999
36,ABL1,PIK3CA,-0.652267873,6.52267873
37,AKT1_2,TTK,-4.81031502,48.1031502
38,LATS1,PRKACA,-1.331679244,13.31679244
39,MAP4K5,PIK3CA,-0.45297699700000005,4.52976997
40,PAK3,TTK,-2.15561355,21.5561355
41,SRPK1,TTK,-3.5577780960000003,35.577780960000005
42,AKT1_2,MTOR,-4.509611491,45.096114910000004
43,AKT1_2,TNK2,-0.669546822,6.69546822
44,SRPK1,TNK2,-0.103990129,1.03990129
45,CSNK1E,PAK1,-0.471644182,4.71644182
46,AKT1_2,LATS1,-2.103738461,21.037384609999997
47,CSNK1E,SRPK1,-0.096331976,0.96331976
48,MAP3K1,TNK2,-0.262001728,2.62001728
