,from,to,z-score,weight
0,ARAF,ERN1,0.318812939,0.318812939
1,ARAF,SRPK1,0.424298535,0.424298535
2,ARAF,CIT,0.330745215,0.330745215
3,ARAF,MAPK14,0.660979588,0.660979588
4,ARAF,CAMKK2,0.485209965,0.485209965
5,ARAF,TAOK3,0.635681078,0.635681078
6,ARAF,TNK2,0.341446009,0.341446009
7,ARAF,TTK,0.393702839,0.393702839
8,ARAF,MINK1,0.343184675,0.343184675
9,ARAF,RPS6KA2,0.429701209,0.429701209
10,ARAF,YES1,0.057913278,0.057913278
11,ARAF,MAPK1_3,0.131900454,0.131900454
12,ARAF,MELK,0.098829326,0.098829326
13,ARAF,STK4,0.294611597,0.294611597
14,ARAF,STK3,0.393362725,0.393362725
15,ERN1,CIT,0.319136482,0.319136482
16,ERN1,TAOK3,0.561514183,0.561514183
17,ERN1,SRPK1,0.505294088,0.505294088
18,ERN1,CAMKK2,0.496118712,0.496118712
19,ERN1,MAPK14,0.717576931,0.717576931
20,ERN1,CSNK1E,0.197049122,0.197049122
21,ERN1,TTK,0.098245715,0.098245715
22,ERN1,RPS6KA2,0.30681043,0.30681043
23,ERN1,MAP3K1,0.022341674,0.022341674
24,ERN1,TNK2,0.293943506,0.293943506
25,ERN1,MINK1,0.310527787,0.310527787
26,ERN1,YES1,0.29719684,0.29719684
27,ERN1,MELK,0.265076535,0.265076535
28,ERN1,PAK1,0.221517446,0.221517446
29,ERN1,CDK17,0.078952457,0.078952457
30,ERN1,CAMK2G,0.078952457,0.078952457
31,ERN1,MAP2K1,0.028690158,0.028690158
32,ERN1,STK3,0.393362725,0.393362725
33,ERN1,STK4,0.216842525,0.216842525
34,ERN1,SIK2,0.171586676,0.171586676
35,MAPK14,PDGFRB,0.350043234,0.350043234
36,MAPK14,MAP4K5,0.314389469,0.314389469
37,MAPK14,MAP3K1,0.318200389,0.318200389
38,MAPK14,CSNK1E,0.298361837,0.298361837
39,MAPK14,MAP4K4,0.310531783,0.310531783
40,MAPK14,YES1,0.328211001,0.328211001
41,MAPK14,KIT,0.207029897,0.207029897
42,MAPK14,SRPK1,0.912240904,0.912240904
43,MAPK14,TTK,0.223906936,0.223906936
44,MAPK14,MAPK1_3,0.666616724,0.666616724
45,MAPK14,CIT,0.096327685,0.096327685
46,MAPK14,MINK1,0.73490221,0.73490221
47,MAPK14,SRPK3,0.582028478,0.582028478
48,MAPK14,RPS6KA2,0.278036459,0.278036459
49,MAPK14,ROCK1_2,0.198727639,0.198727639
50,PDGFRB,MAP4K5,0.314389469,0.314389469
51,PDGFRB,CSNK1E,0.326571322,0.326571322
52,PDGFRB,MAP3K1,0.35739929,0.35739929
53,PDGFRB,YES1,0.322514378,0.322514378
54,PDGFRB,MAP4K4,0.322514378,0.322514378
55,PDGFRB,MAPK1_3,1.080293384,1.080293384
56,PDGFRB,KIT,0.201651578,0.201651578
57,PDGFRB,SRPK1,0.753591653,0.753591653
58,PDGFRB,PRKCI,0.026093126,0.026093126
59,PDGFRB,RPS6KA2,0.186853028,0.186853028
60,PDGFRB,TNK2,0.148150621,0.148150621
61,PDGFRB,PAK3,0.099453946,0.099453946
62,PDGFRB,CIT,0.255977297,0.255977297
63,PDGFRB,TTK,0.189497494,0.189497494
64,PDGFRB,PAK1,0.087710136,0.087710136
65,PDGFRB,MINK1,0.792743076,0.792743076
66,PDGFRB,ROCK1_2,0.093538725,0.093538725
67,CSNK1E,MAP3K1,0.329368694,0.329368694
68,CSNK1E,MAP4K5,0.305640024,0.305640024
69,CSNK1E,MAP4K4,0.326571322,0.326571322
70,CSNK1E,YES1,0.314389469,0.314389469
71,CSNK1E,KIT,0.201651578,0.201651578
72,CSNK1E,CAMKK2,0.184883118,0.184883118
73,CSNK1E,IRAK1,0.167233073,0.167233073
74,CSNK1E,MAPK1_3,0.217656867,0.217656867
