,from,to,z-score,weight
0,MAPK1_3,PDGFRB,-0.603868089,6.03868089
1,ARAF,PDGFRB,-0.20261222199999998,2.02612222
2,MAP2K1,TNK2,-1.411156864,14.111568640000002
3,MAPK1_3,TNK2,-1.1672668940000002,11.672668940000001
4,ARAF,MAPK1_3,-0.52996469,5.2996469
5,PDGFRB,TNK2,-0.372081978,3.72081978
6,PDGFRB,ROCK1_2,-0.36631461299999996,3.6631461299999994
7,MAPK1_3,PRKCI,-0.7152281359999999,7.152281359999999
8,PRKCI,TNK2,-0.332253263,3.3225326300000004
9,MAP2K1,MAPK1_3,-0.524374633,5.24374633
10,MAP2K1,PDGFRB,-0.11162688800000001,1.11626888
11,CDK9,MAPK1_3,-0.6995600479999999,6.995600479999999
12,CDK9,SRPK3,-0.332321307,3.32321307
