,from,to,z-score,weight
0,ARAF,ERN1,1.206406074,1.206406074
1,ARAF,MAP4K5,0.59533489,0.59533489
2,ARAF,PRKCI,0.753203205,0.753203205
3,ARAF,SRPK1,0.073356975,0.073356975
4,ARAF,CIT,0.854374695,0.854374695
5,ARAF,MAPK14,0.566522473,0.566522473
6,ARAF,PLK1,0.637730466,0.637730466
7,ARAF,IRAK1,0.123494041,0.123494041
8,ARAF,CAMKK2,0.747963654,0.747963654
9,ARAF,TAOK3,0.817855838,0.817855838
10,ARAF,CDK2,0.436078112,0.436078112
11,ARAF,CSNK1E,0.270793329,0.270793329
12,ARAF,TNK2,0.234040033,0.234040033
13,ARAF,TTK,0.584902159,0.584902159
14,ARAF,MAP3K1,0.230037934,0.230037934
15,ARAF,CDK9,0.206892975,0.206892975
16,ARAF,RPS6KA2,0.584902159,0.584902159
17,ARAF,SRPK3,0.34422909,0.34422909
18,ARAF,PAK3,0.481979745,0.481979745
19,ARAF,YES1,0.11162977,0.11162977
20,ARAF,PIK3CA,0.542083589,0.542083589
21,ARAF,PAK1,0.196487713,0.196487713
22,ARAF,CDK4,0.047195627,0.047195627
23,ARAF,ABL1,0.154003241,0.154003241
24,ARAF,PIK3CB,0.154754867,0.154754867
25,ARAF,KIT,0.285521949,0.285521949
26,ARAF,LATS1,0.293554283,0.293554283
27,ARAF,PRKACA,0.215017345,0.215017345
28,ARAF,STK3,0.371877057,0.371877057
29,ARAF,RPS6KA4,0.282703689,0.282703689
30,ARAF,PAK4,0.361406269,0.361406269
31,ERN1,PRKCI,0.595386307,0.595386307
32,ERN1,IRAK1,0.060280854,0.060280854
33,ERN1,CIT,0.582996732,0.582996732
34,ERN1,TAOK3,0.465712325,0.465712325
35,ERN1,CDK2,0.125175664,0.125175664
36,ERN1,SRPK1,0.227991109,0.227991109
37,ERN1,CAMKK2,0.267207514,0.267207514
38,ERN1,CDK9,0.090127424,0.090127424
39,ERN1,MAPK14,0.895653942,0.895653942
40,ERN1,PLK1,0.524887179,0.524887179
41,ERN1,CSNK1E,0.075331166,0.075331166
42,ERN1,TTK,0.588972408,0.588972408
43,ERN1,SRPK3,0.34422909,0.34422909
44,ERN1,CDK4,0.055842619,0.055842619
45,ERN1,RPS6KA2,0.495296696,0.495296696
