,from,to,weight
0,PAK1,PAK3,0
1,PIK3CA,TTK,0
2,PIK3CB,PLK1,0
3,LATS1,PRKCI,0
4,MAP3K1,PLK1,0
5,MTOR,PIK3CA,0
6,PAK1,YES1,0
7,AKT1_2,PIK3CA,0
8,PDGFRB,PLK1,0
9,CSNK1E,PLK1,0
10,PLK1,TTK,0
11,MAP2K1,TNK2,0
12,PRKCI,RPS6KA2,0
13,PAK3,PLK1,0
14,PAK3,PRKCI,0
15,CSNK1E,PAK3,0
16,MTOR,TTK,0
17,PIK3CA,PLK1,0
18,AKT1_2,PRKACA,0
19,PAK1,PRKCI,0
20,PDGFRB,TNK2,0
21,TNK2,YES1,0
22,AKT1_2,TTK,0
23,LATS1,PRKACA,0
24,PLK1,TNK2,0
25,PAK3,TTK,0
26,AKT1_2,MTOR,0
27,AKT1_2,TNK2,0
28,CSNK1E,PAK1,0
29,MAP3K1,RPS6KA2,0
30,PLK1,RPS6KA2,0
31,AKT1_2,LATS1,0
32,MAP3K1,TNK2,0
33,CSNK1E,TNK2,0
34,MAP3K1,PAK1,0
35,MINK1,PLK1,0
36,RPS6KA2,YES1,0
37,MINK1,PIK3CA,0
38,PAK1,PLK1,0
39,PAK1,TNK2,0
40,PIK3CA,TNK2,0
41,CSNK1E,RPS6KA2,0
42,MINK1,TTK,0
43,PIK3CA,RPS6KA2,0
44,PRKACA,PRKCI,0
45,RPS6KA2,TNK2,0
46,AKT1_2,PRKCI,0
47,MINK1,PAK3,0
48,PRKACA,PRKACB,0
49,PIK3CA,PRKACA,0
50,PIK3CA,PRKCI,0
51,RPS6KA2,TTK,0
52,PRKCI,TTK,0
53,MTOR,PRKACA,0
54,PIK3CB,TTK,0
55,PRKACA,RPS6KA2,0
56,CSNK1E,PIK3CA,0
57,MINK1,PAK1,0
58,AKT1_2,PRKACB,0
59,AKT1_2,RPS6KA2,0
60,LATS1,PRKACB,0
61,MAP2K1,PIK3CA,0
62,PAK1,PRKACA,0
63,PRKACA,TNK2,0
64,PRKCI,TNK2,0
65,AKT1_2,CSNK1E,0
66,PAK3,PIK3CA,0
67,PAK3,RPS6KA2,0
68,PRKACA,TTK,0
69,AKT1_2,PAK3,0
70,CSNK1E,LATS1,0
71,LATS1,MAP3K1,0
72,LATS1,PDGFRB,0
73,LATS1,YES1,0
74,MAP2K1,PDGFRB,0
75,PAK3,PIK3CB,0
76,PRKACA,YES1,0
77,AKT1_2,PIK3CB,0
78,AKT1_2,PLK1,0
79,LATS1,PAK3,0
80,LATS1,RPS6KA2,0
81,MINK1,MTOR,0
82,PAK1,RPS6KA2,0
83,PDGFRB,PIK3CA,0
84,AKT1_2,MAP3K1,0
85,AKT1_2,MINK1,0
86,AKT1_2,RPS6KB1,0
87,MAP2K1,MAP3K1,0
88,MINK1,PRKACA,0
89,PAK1,PIK3CA,0
90,PAK3,PRKACA,0
91,LATS1,MTOR,0
92,LATS1,PAK1,0
93,LATS1,PLK1,0
94,LATS1,TTK,0
95,MTOR,PIK3CB,0
96,MTOR,PAK3,0
97,MTOR,TNK2,0
98,MAP3K1,PRKACA,0
99,MTOR,PAK1,0
100,MTOR,PRKACB,0
101,PAK1,PIK3CB,0
102,PIK3CB,PRKACA,0
103,RPS6KB1,TNK2,0
104,PAK1,PAK3,0
