,id,group,color
0,AKT1_2,MAP2K1_PIK3CA_AKT,#96efff
1,PAK3,MAP2K1_PIK3CA_AKT,#96efff
2,PIK3CA,MAP2K1_PIK3CA_AKT,#96efff
3,PAK1,MAP2K1_PIK3CA_AKT,#96efff
4,PRKACA,MAP2K1_PIK3CA_AKT,#96efff
5,TNK2,MAP2K1_PIK3CA_AKT,#96efff
6,MINK1,MAP2K1_PIK3CA_AKT,#96efff
7,PLK1,MAP2K1_PIK3CA_AKT,#96efff
8,PIK3CB,MAP2K1_PIK3CA_AKT,#96efff
9,MTOR,MAP2K1_PIK3CA_AKT,#96efff
10,PRKCI,MAP2K1_PIK3CA_AKT,#96efff
11,PRKACB,MAP2K1_PIK3CA_AKT,#96efff
12,TTK,MAP2K1_PIK3CA_AKT,#96efff
13,RPS6KB1,MAP2K1_PIK3CA_AKT,#96efff
14,LATS1,MAP2K1_PIK3CA_AKT,#96efff
15,MAP3K1,MAP2K1_PIK3CA_AKT,#96efff
16,CSNK1E,MAP2K1_PIK3CA_AKT,#96efff
17,YES1,MAP2K1_PIK3CA_notAKT,#FFDB33
18,MAP2K1,MAP2K1_PIK3CA_notAKT,#FFDB33
19,PDGFRB,MAP2K1_PIK3CA_notAKT,#FFDB33
20,RPS6KA2,MAP2K1_PIK3CA_notAKT,#FFDB33
