,from,to,z-score,weight
0,ERN1,ARAF,0.570894975,0.570894975
1,ERN1,PRKCI,0.115927249,0.115927249
2,ERN1,CIT,0.224842769,0.224842769
3,ERN1,TAOK3,0.645143648,0.645143648
4,ERN1,CDK2,0.208985982,0.208985982
5,ERN1,SRPK1,0.263567533,0.263567533
6,ERN1,CAMKK2,0.459983041,0.459983041
7,ERN1,MAPK14,0.92690654,0.92690654
8,ERN1,CSNK1E,0.343946172,0.343946172
9,ERN1,TTK,0.521872383,0.521872383
10,ERN1,SRPK3,0.241033938,0.241033938
11,ERN1,CDK4,0.302544767,0.302544767
12,ERN1,RPS6KA2,0.424883413,0.424883413
13,ERN1,MAP3K1,0.211020592,0.211020592
14,ERN1,PAK3,0.345454523,0.345454523
15,ERN1,MINK1,0.165403119,0.165403119
16,ERN1,YES1,0.14279626,0.14279626
17,ERN1,PDGFRB,0.11056377,0.11056377
18,ERN1,KIT,0.027806969,0.027806969
19,PAK3,ARAF,0.243811354,0.243811354
20,PAK3,MAP4K5,0.182982442,0.182982442
21,PAK3,MAPK14,0.149404538,0.149404538
22,PAK3,MAP3K1,0.279620172,0.279620172
23,PAK3,PDGFRB,0.159793544,0.159793544
24,PAK3,MAP4K4,0.129388126,0.129388126
25,PAK3,YES1,0.138585638,0.138585638
26,PAK3,MAPK1_3,0.252175851,0.252175851
27,PAK3,TAOK3,0.301879415,0.301879415
28,PAK3,KIT,0.092256845,0.092256845
29,MINK1,SRPK1,0.199233862,0.199233862
30,MINK1,ARAF,0.20860512,0.20860512
31,MINK1,RPS6KA2,0.095708851,0.095708851
32,MINK1,CIT,0.337071206,0.337071206
33,MINK1,MAPK14,0.37522987,0.37522987
34,MINK1,MAP4K5,0.048076229,0.048076229
35,MINK1,CAMKK2,0.090367396,0.090367396
36,MINK1,MAP3K1,0.230865169,0.230865169
37,MINK1,PRKCI,0.042399249,0.042399249
38,MINK1,CSNK1E,0.444154689,0.444154689
39,MINK1,TAOK3,0.573401237,0.573401237
40,MINK1,IRAK1,0.350957127,0.350957127
41,MINK1,PDGFRB,0.106434048,0.106434048
42,MINK1,YES1,0.304031582,0.304031582
43,MINK1,MAP4K4,0.304031582,0.304031582
44,RPS6KA2,SRPK1,0.419465007,0.419465007
45,RPS6KA2,ARAF,0.50887007,0.50887007
46,RPS6KA2,MAPK14,0.516797172,0.516797172
47,RPS6KA2,PDGFRB,0.183656559,0.183656559
48,RPS6KA2,SRPK3,0.405355365,0.405355365
49,RPS6KA2,MAP4K5,0.074945265,0.074945265
50,RPS6KA2,MAPK1_3,0.158632225,0.158632225
51,RPS6KA2,KIT,0.292912396,0.292912396
52,CDK2,CSNK1E,0.067438832,0.067438832
