,from,to,z-score,weight
0,PAK1,PAK3,-0.145222545,1.45222545
1,PIK3CA,TTK,-0.228672557,2.2867255699999998
2,PIK3CB,PLK1,-0.064507194,0.64507194
3,LATS1,PRKCI,-0.156353307,1.56353307
4,MAP3K1,PLK1,-0.19570238199999998,1.9570238199999999
5,MTOR,PIK3CA,-0.641793941,6.41793941
6,PAK1,YES1,-0.057938277999999996,0.57938278
7,AKT1_2,PIK3CA,-0.31888230300000003,3.1888230300000004
8,PDGFRB,PLK1,-0.053529964000000006,0.5352996400000001
9,CSNK1E,PLK1,-0.051328278,0.5132827799999999
10,PLK1,TTK,-0.21673614,2.1673614
11,MAP2K1,TNK2,-3.7324670589999998,37.32467059
12,MAPK1_3,TNK2,-1.1739294470000001,11.73929447
13,PRKCI,RPS6KA2,-0.105050265,1.05050265
14,PAK3,PLK1,-0.149273881,1.49273881
15,PAK3,PRKCI,-0.079025117,0.7902511700000001
16,CSNK1E,PAK3,-0.23869663800000002,2.38696638
17,MTOR,TTK,-0.536312653,5.36312653
18,PIK3CA,PLK1,-0.161695916,1.61695916
19,AKT1_2,PRKACA,-1.01694198,10.1694198
20,PAK1,PRKCI,-0.09906322699999999,0.9906322699999999
21,PDGFRB,TNK2,-0.37640022700000003,3.76400227
22,TNK2,YES1,-0.052950175,0.52950175
23,AKT1_2,TTK,-1.083930775,10.83930775
24,LATS1,PRKACA,-0.26923897399999996,2.6923897399999994
25,PLK1,TNK2,-0.13147909300000002,1.3147909300000002
26,PAK3,TTK,-0.227858397,2.2785839699999997
27,AKT1_2,MTOR,-0.358152924,3.58152924
28,AKT1_2,TNK2,-0.38980521,3.8980521
29,CSNK1E,PAK1,-0.166596604,1.66596604
30,MAP3K1,RPS6KA2,-0.15492653,1.5492653
31,PLK1,RPS6KA2,-0.193349788,1.93349788
32,AKT1_2,LATS1,-0.781388575,7.813885750000001
33,MAP3K1,TNK2,-0.103947772,1.0394777199999998
34,CSNK1E,MAPK1_3,-0.008386674,0.08386674
35,CSNK1E,TNK2,-0.294578779,2.9457877900000002
36,MAP3K1,PAK1,-0.064848528,0.64848528
37,MINK1,PLK1,-0.13035639999999998,1.3035639999999997
38,RPS6KA2,YES1,-0.249473217,2.49473217
39,MINK1,PIK3CA,-0.071115921,0.7111592099999999
40,PAK1,PLK1,-0.054376115,0.54376115
41,PAK1,TNK2,-0.047895235999999994,0.47895235999999997
42,PIK3CA,TNK2,-0.17993682800000002,1.7993682800000002
43,CSNK1E,RPS6KA2,-0.059013995,0.59013995
44,MINK1,TTK,-0.39974385,3.9974385000000003
45,PIK3CA,RPS6KA2,-0.21763615100000003,2.1763615100000004
46,PRKACA,PRKCI,-0.22001469699999998,2.2001469699999996
47,RPS6KA2,TNK2,-0.22001469699999998,2.2001469699999996
48,AKT1_2,PRKCI,-0.45664712,4.5664712000000005
49,MINK1,PAK3,-0.501989916,5.01989916
50,PRKACA,PRKACB,-0.698895189,6.98895189
51,PIK3CA,PRKACA,-0.621393677,6.21393677
52,PIK3CA,PRKCI,-0.062204129000000004,0.6220412900000001
53,RPS6KA2,TTK,-0.037042006,0.37042006000000005
54,PRKCI,TTK,-0.032791268,0.32791267999999996
55,MTOR,PRKACA,-1.1063326629999999,11.063326629999999
56,PIK3CB,TTK,-0.187039265,1.87039265
57,PRKACA,RPS6KA2,-0.17039128399999998,1.7039128399999997
58,CSNK1E,PIK3CA,-0.6288974310000001,6.28897431
59,MAPK1_3,PRKCI,-0.444833178,4.44833178
60,MINK1,PAK1,-0.39974385,3.9974385000000003
61,AKT1_2,PRKACB,-0.863583669,8.635836690000001
62,AKT1_2,RPS6KA2,-0.863583669,8.635836690000001
63,LATS1,PRKACB,-0.6052609879999999,6.052609879999999
64,MAP2K1,PIK3CA,-1.107814272,11.078142719999999
65,PAK1,PRKACA,-0.612566278,6.12566278
66,PRKACA,TNK2,-0.21322429,2.1322429
67,PRKCI,TNK2,-0.233995638,2.3399563800000003
68,AKT1_2,CSNK1E,-0.731253535,7.31253535
69,PAK3,PIK3CA,-0.278226734,2.7822673399999998
70,PAK3,RPS6KA2,-0.150717919,1.50717919
71,PRKACA,TTK,-0.1837737,1.8377370000000002
72,AKT1_2,PAK3,-1.294830706,12.94830706
73,CSNK1E,LATS1,-0.016679729,0.16679729000000001
74,LATS1,MAP3K1,-0.174811909,1.7481190899999999
75,LATS1,PDGFRB,-0.164815778,1.64815778
76,LATS1,YES1,-0.174811909,1.7481190899999999
77,MAP2K1,MAPK1_3,-1.077354868,10.773548680000001
78,MAP2K1,PDGFRB,-0.728040137,7.28040137
79,PAK3,PIK3CB,-0.206123666,2.06123666
80,PRKACA,YES1,-1.121089793,11.210897929999998
81,AKT1_2,PIK3CB,-1.041128773,10.411287730000002
82,AKT1_2,PLK1,-0.623901139,6.23901139
83,AKT1_2,STK4,-0.542705784,5.42705784
84,LATS1,PAK3,-0.8284468970000001,8.28446897
85,LATS1,RPS6KA2,-0.079025117,0.7902511700000001
86,MINK1,MTOR,-0.309640254,3.09640254
87,PAK1,RPS6KA2,-0.36724616600000004,3.6724616600000006
88,PDGFRB,PIK3CA,-0.6288974310000001,6.28897431
89,RPS6KA2,STK4,-0.032481365,0.32481364999999995
90,AKT1_2,MAP3K1,-0.661890506,6.6189050599999995
91,AKT1_2,MINK1,-0.621393677,6.21393677
92,AKT1_2,RPS6KB1,-0.91162925,9.1162925
93,MAP2K1,MAP3K1,-0.199962845,1.99962845
94,MINK1,PRKACA,-0.34621733200000004,3.4621733200000007
95,PAK1,PIK3CA,-0.261817759,2.6181775899999997
96,PAK1,STK4,-0.33673691299999997,3.3673691299999997
97,PAK3,PRKACA,-1.294830706,12.94830706
98,LATS1,MTOR,-1.597842218,15.97842218
99,LATS1,PAK1,-0.777439543,7.774395429999999
100,LATS1,PLK1,-0.187039265,1.87039265
101,LATS1,TTK,-0.187039265,1.87039265
102,MTOR,PIK3CB,-0.731253535,7.31253535
103,STK4,YES1,-0.035525305,0.35525305
104,MAPK1_3,MINK1,-0.04530061,0.45300609999999997
105,MTOR,PAK3,-0.731253535,7.31253535
106,PRKCI,STK4,-0.472694347,4.72694347
107,MTOR,TNK2,-0.20280316399999998,2.02803164
108,MAP3K1,PRKACA,-0.187039265,1.87039265
109,MTOR,PAK1,-0.309640254,3.09640254
110,MTOR,PRKACB,-1.294830706,12.94830706
111,PAK1,PIK3CB,-0.159662705,1.59662705
112,PIK3CB,PRKACA,-0.187039265,1.87039265
113,RPS6KB1,STK4,-0.786807887,7.868078870000001
114,RPS6KB1,TNK2,-0.786807887,7.868078870000001
