,from,to,z-score,weight
0,ABL1,LIMK1_2,-0.328887252,3.28887252
1,PAK1,PAK3,-0.297667876,2.97667876
2,PIK3CA,TTK,-4.295233027,42.952330270000004
3,MAP3K1,PRKCI,-0.014131171000000001,0.14131171
4,MAPK14,PLK1,-0.062518934,0.6251893399999999
5,CIT,CSNK1E,-0.377825785,3.77825785
6,LATS1,PRKCI,-0.21078822600000002,2.1078822600000002
7,CIT,TNK2,-0.24701552300000001,2.47015523
8,MAP4K5,PLK1,-0.35095161,3.5095161000000004
9,MAPK14,PRKCI,-0.009533344000000001,0.09533344
10,MAP4K5,PRKCI,-0.064155835,0.6415583499999999
11,MINK1,RPS6KA2,-0.466376849,4.66376849
12,MAP3K1,PLK1,-0.44929566299999996,4.492956629999999
13,CIT,MAP3K1,-0.108469977,1.0846997699999998
14,MAP4K5,SRPK1,-0.331332501,3.31332501
15,MTOR,PIK3CA,-3.672957205,36.72957205
16,CIT,TTK,-1.5410278999999998,15.410278999999997
17,PAK1,YES1,-1.9797893180000001,19.797893180000003
18,PDGFRB,PLK1,-0.415966956,4.15966956
19,CIT,PLK1,-0.070227557,0.70227557
20,CSNK1E,PLK1,-0.410664646,4.10664646
21,PLK1,TTK,-1.4446954580000002,14.446954580000002
22,PRKCI,YES1,-0.265443918,2.65443918
23,MAP2K1,TNK2,-1.440442019,14.40442019
24,MAP4K5,PAK3,-0.130343604,1.30343604
25,MAP4K5,TNK2,-0.12438249400000001,1.24382494
26,PDGFRB,PRKCI,-0.249192143,2.49192143
27,PAK3,SRPK1,-0.208368467,2.0836846700000002
28,CSNK1E,PRKCI,-0.275146782,2.75146782
29,STK3,TNK2,-0.120677584,1.2067758400000002
30,AKT1_2,LIMK1_2,-1.2536220340000002,12.536220340000002
31,CSNK1E,PAK3,-0.223870273,2.23870273
32,MTOR,TTK,-3.190316938,31.90316938
33,PIK3CA,PLK1,-0.578664184,5.78664184
34,AKT1_2,PRKACA,-1.623420563,16.23420563
35,MAPK14,PAK3,-1.004433227,10.04433227
36,PAK1,PAK4,-1.392342248,13.923422480000001
37,PDGFRB,TNK2,-0.470906269,4.70906269
38,ABL1,PIK3CA,-1.510033779,15.100337790000001
39,MAP3K1,TTK,-0.0037163920000000002,0.03716392
40,PLK1,YES1,-0.429970856,4.29970856
41,TNK2,YES1,-1.837408682,18.37408682
42,MAP3K1,PAK3,-0.060779665999999996,0.60779666
43,AKT1_2,TTK,-4.485282563,44.85282563
44,LATS1,PRKACA,-0.64567835,6.456783499999999
45,MAP4K5,PIK3CA,-0.866967451,8.66967451
46,PAK3,PDGFRB,-0.170784467,1.70784467
47,PAK3,TTK,-2.101465253,21.014652530000003
48,SRPK1,TTK,-4.684266771,46.84266771
49,AKT1_2,MTOR,-3.6564361539999997,36.56436153999999
50,AKT1_2,TNK2,-0.137384964,1.37384964
51,CSNK1E,PAK1,-0.231898932,2.31898932
52,PLK1,RPS6KA2,-0.224470673,2.24470673
53,PAK4,PRKCI,-0.5366006179999999,5.366006179999999
54,AKT1_2,LATS1,-1.964501697,19.64501697
55,MAP3K1,TNK2,-0.11365352199999999,1.1365352199999998
56,PAK4,STK3,-1.399922452,13.99922452
57,CIT,PIK3CA,-2.8135950739999998,28.13595074
58,CSNK1E,TNK2,-0.333492343,3.3349234300000004
59,LIMK1_2,SRPK1,-3.5467503639999998,35.46750364
60,LIMK1_2,TTK,-1.895359071,18.95359071
61,MAP3K1,PAK1,-0.9059792990000001,9.05979299
62,MAP4K5,PAK1,-1.353659374,13.53659374
63,AKT1_2,CIT,-3.116976686,31.169766860000003
64,LIMK1_2,PIK3CA,-3.810364566,38.10364566
65,MINK1,PIK3CA,-2.377921848,23.77921848
66,PAK1,PLK1,-0.18831616199999998,1.8831616199999999
67,PAK1,TNK2,-1.577341729,15.773417290000001
68,PIK3CA,TNK2,-1.7385029109999999,17.385029109999998
69,MAPK14,PIK3CA,-0.5142532089999999,5.14253209
70,MINK1,TTK,-2.511152654,25.11152654
71,PAK3,YES1,-1.7285047580000001,17.28504758
72,STK3,YES1,-1.399922452,13.99922452
73,PAK1,STK3,-1.2279304420000001,12.27930442
74,PIK3CA,RPS6KA2,-0.5081317639999999,5.081317639999999
75,RPS6KA2,TNK2,-0.314133259,3.14133259
76,ABL1,AKT1_2,-2.216496136,22.16496136
77,AKT1_2,PRKCI,-1.02525084,10.2525084
78,CIT,PIK3CB,-0.067183544,0.67183544
79,LIMK1_2,PRKACA,-0.435730966,4.35730966
80,MINK1,PAK3,-1.8900414730000001,18.90041473
81,PAK1,SRPK1,-0.759471496,7.594714959999999
82,PRKACA,PRKACB,-1.7268371669999998,17.268371669999997
83,TNK2,TTK,-0.445385708,4.45385708
84,LATS1,MAP4K5,-0.27253785199999997,2.7253785199999996
85,LIMK1_2,TNK2,-0.7584557340000001,7.584557340000001
86,MAPK14,PAK1,-1.048540043,10.48540043
87,PAK1,PDGFRB,-0.5366006179999999,5.366006179999999
88,PIK3CA,PRKACA,-1.841930343,18.41930343
89,PIK3CA,PRKCI,-0.583282693,5.83282693
90,PIK3CA,YES1,-1.4657450680000002,14.657450680000002
91,CIT,LIMK1_2,-0.225015931,2.25015931
92,CSNK1E,TTK,-0.012324425,0.12324425
93,PRKCI,TTK,-0.002770035,0.027700350000000002
94,ABL1,TNK2,-0.9106786720000001,9.10678672
95,CIT,MTOR,-2.8135950739999998,28.13595074
96,MAPKAPK2,PIK3CA,-2.852928576,28.52928576
